,Petal_Length,Petal_Width,Sepal_Length,Sepal_Width,Class,Prediction
10,-1.2801181856236823,-1.308592819437958,-0.5353839727944832,1.4898719449767124,Iris-setosa,Iris-setosa
33,-1.3367940202882493,-1.308592819437958,-0.41462067066038977,2.643023605175406,Iris-setosa,Iris-setosa
36,-1.393469854952816,-1.308592819437958,-0.41462067066038977,1.0286112808972343,Iris-setosa,Iris-setosa
32,-1.2801181856236823,-1.4396268133736678,-0.7769105770626714,2.4123932731356663,Iris-setosa,Iris-setosa
9,-1.2801181856236823,-1.4396268133736678,-1.1392004834649532,0.10608995273827942,Iris-setosa,Iris-setosa
6,-1.3367940202882493,-1.1775588255022478,-1.5014903898672358,0.7979809488574954,Iris-setosa,Iris-setosa
28,-1.3367940202882493,-1.308592819437958,-0.7769105770626714,0.7979809488574954,Iris-setosa,Iris-setosa
39,-1.2801181856236823,-1.308592819437958,-0.8976738791967661,0.7979809488574954,Iris-setosa,Iris-setosa
15,-1.2801181856236823,-1.0465248315665376,-0.1730940663922016,3.104284269254884,Iris-setosa,Iris-setosa
66,0.42015685431332234,0.3948491017262728,-0.29385736852629624,-0.12454037930145956,Iris-versicolor,Iris-virginica
51,0.42015685431332234,0.3948491017262728,0.6722490485464564,0.3367202847780184,Iris-versicolor,Iris-virginica
52,0.6468601929715898,0.3948491017262728,1.2760655592169263,0.10608995273827942,Iris-versicolor,Iris-virginica
72,0.6468601929715898,0.3948491017262728,0.5514857464123618,-1.2776920395001534,Iris-versicolor,Iris-virginica
90,0.36348101964875573,0.0017471199191426083,-0.41462067066038977,-1.0470617074604145,Iris-versicolor,Iris-versicolor
71,0.13677768099048823,0.13278111385485278,0.30995914214417364,-0.5858010433809375,Iris-versicolor,Iris-virginica
53,0.13677768099048823,0.13278111385485278,-0.41462067066038977,-1.7389527035796315,Iris-versicolor,Iris-versicolor
93,-0.25995316166147964,-0.26032086795227743,-1.0184371813308597,-1.7389527035796315,Iris-versicolor,Iris-versicolor
92,0.13677768099048823,0.0017471199191426083,-0.05233076425810806,-1.0470617074604145,Iris-versicolor,Iris-versicolor
112,0.9869152009589905,1.1810530653405331,1.1553022570828317,-0.12454037930145956,Iris-virginica,Iris-virginica
122,1.6670252169337927,1.050019071404823,2.242171976289678,-0.5858010433809375,Iris-virginica,Iris-virginica
128,1.0435910356235572,1.1810530653405331,0.6722490485464564,-0.5858010433809375,Iris-virginica,Iris-virginica
131,1.4969977129400922,1.050019071404823,2.4836985805578657,1.7205022770164502,Iris-virginica,Iris-virginica
116,0.9869152009589905,0.787951083533403,0.79301235068055,-0.12454037930145956,Iris-virginica,Iris-virginica
101,0.7602118623007231,0.9189850774691128,-0.05233076425810806,-0.8164313754206755,Iris-virginica,Iris-virginica
111,0.8735635316298569,0.9189850774691128,0.6722490485464564,-0.8164313754206755,Iris-virginica,Iris-virginica
126,0.5901843583070228,0.787951083533403,0.4307224442782682,-0.5858010433809375,Iris-virginica,Iris-virginica
107,1.4403218782755252,0.787951083533403,1.7591187677533016,-0.35517071134119854,Iris-virginica,Iris-virginica
22,-1.5634973589465164,-1.308592819437958,-1.5014903898672358,1.2592416129369732,Iris-setosa,Iris-setosa
8,-1.3367940202882493,-1.308592819437958,-1.743016994135423,-0.35517071134119854,Iris-setosa,Iris-setosa
26,-1.2234423509591155,-1.0465248315665376,-1.0184371813308597,0.7979809488574954,Iris-setosa,Iris-setosa
24,-1.0534148469654152,-1.308592819437958,-1.2599637855990478,0.7979809488574954,Iris-setosa,Iris-setosa
21,-1.2801181856236823,-1.0465248315665376,-0.8976738791967661,1.4898719449767124,Iris-setosa,Iris-setosa
34,-1.2801181856236823,-1.4396268133736678,-1.1392004834649532,0.10608995273827942,Iris-setosa,Iris-setosa
48,-1.2801181856236823,-1.308592819437958,-0.6561472749285779,1.4898719449767124,Iris-setosa,Iris-setosa
30,-1.2234423509591155,-1.308592819437958,-1.2599637855990478,0.10608995273827942,Iris-setosa,Iris-setosa
45,-1.3367940202882493,-1.1775588255022478,-1.2599637855990478,-0.12454037930145956,Iris-setosa,Iris-setosa
62,0.13677768099048823,-0.26032086795227743,0.1891958400100801,-1.9695830356193693,Iris-versicolor,Iris-versicolor
83,0.7602118623007231,0.525883095661983,0.1891958400100801,-0.8164313754206755,Iris-versicolor,Iris-versicolor
84,0.42015685431332234,0.3948491017262728,-0.5353839727944832,-0.12454037930145956,Iris-versicolor,Iris-versicolor
79,-0.1466014923323459,-0.26032086795227743,-0.1730940663922016,-1.0470617074604145,Iris-versicolor,Iris-versicolor
58,0.476832688977889,0.13278111385485278,0.9137756528146435,-0.35517071134119854,Iris-versicolor,Iris-versicolor
60,-0.1466014923323459,-0.26032086795227743,-1.0184371813308597,-2.430843699698847,Iris-versicolor,Iris-versicolor
55,0.42015685431332234,0.13278111385485278,-0.1730940663922016,-0.5858010433809375,Iris-versicolor,Iris-versicolor
96,0.25012935031962197,0.13278111385485278,-0.1730940663922016,-0.35517071134119854,Iris-versicolor,Iris-versicolor
88,0.19345351565505484,0.13278111385485278,-0.29385736852629624,-0.12454037930145956,Iris-versicolor,Iris-versicolor
104,1.156942704952691,1.3120870592762435,0.79301235068055,-0.12454037930145956,Iris-virginica,Iris-virginica
118,1.7803768862629263,1.443121053211953,2.242171976289678,-1.0470617074604145,Iris-virginica,Iris-virginica
120,1.1002668702881244,1.443121053211953,1.2760655592169263,0.3367202847780184,Iris-virginica,Iris-virginica
147,0.8168876969652902,1.050019071404823,0.79301235068055,-0.12454037930145956,Iris-virginica,Iris-versicolor
115,0.8735635316298569,1.443121053211953,0.6722490485464564,0.3367202847780184,Iris-virginica,Iris-virginica
141,0.7602118623007231,1.443121053211953,1.2760655592169263,0.10608995273827942,Iris-virginica,Iris-virginica
134,1.0435910356235572,0.26381510779056266,0.30995914214417364,-1.0470617074604145,Iris-virginica,Iris-versicolor
130,1.3269702089463913,0.9189850774691128,1.8798820698873961,-0.5858010433809375,Iris-virginica,Iris-versicolor
139,0.9302393662944239,1.1810530653405331,1.2760655592169263,0.10608995273827942,Iris-virginica,Iris-virginica
4,-1.3367940202882493,-1.308592819437958,-1.0184371813308597,1.2592416129369732,Iris-setosa,Iris-setosa
41,-1.393469854952816,-1.1775588255022478,-1.6222536920013295,-1.7389527035796315,Iris-setosa,Iris-setosa
38,-1.393469854952816,-1.308592819437958,-1.743016994135423,-0.12454037930145956,Iris-setosa,Iris-setosa
20,-1.1667665162945489,-1.308592819437958,-0.5353839727944832,0.7979809488574954,Iris-setosa,Iris-setosa
47,-1.3367940202882493,-1.308592819437958,-1.5014903898672358,0.3367202847780184,Iris-setosa,Iris-setosa
1,-1.3367940202882493,-1.308592819437958,-1.1392004834649532,-0.12454037930145956,Iris-setosa,Iris-setosa
3,-1.2801181856236823,-1.308592819437958,-1.5014903898672358,0.10608995273827942,Iris-setosa,Iris-setosa
37,-1.2801181856236823,-1.4396268133736678,-1.1392004834649532,0.10608995273827942,Iris-setosa,Iris-setosa
43,-1.2234423509591155,-0.7844568436951177,-1.0184371813308597,1.0286112808972343,Iris-setosa,Iris-setosa
64,-0.08992565766777902,0.13278111385485278,-0.29385736852629624,-0.35517071134119854,Iris-versicolor,Iris-versicolor
97,0.3068051849841886,0.13278111385485278,0.4307224442782682,-0.35517071134119854,Iris-versicolor,Iris-versicolor
54,0.476832688977889,0.3948491017262728,0.79301235068055,-0.5858010433809375,Iris-versicolor,Iris-versicolor
57,-0.25995316166147964,-0.26032086795227743,-1.1392004834649532,-1.5083223715398926,Iris-versicolor,Iris-versicolor
56,0.533508523642456,0.525883095661983,0.5514857464123618,0.5673506168177563,Iris-versicolor,Iris-versicolor
69,0.08010184632592135,-0.12928687401656727,-0.29385736852629624,-1.2776920395001534,Iris-versicolor,Iris-versicolor
89,0.13677768099048823,0.13278111385485278,-0.41462067066038977,-1.2776920395001534,Iris-versicolor,Iris-versicolor
76,0.5901843583070228,0.26381510779056266,1.1553022570828317,-0.5858010433809375,Iris-versicolor,Iris-versicolor
85,0.42015685431332234,0.525883095661983,0.1891958400100801,0.7979809488574954,Iris-versicolor,Iris-versicolor
106,0.42015685431332234,0.6569170895976928,-1.1392004834649532,-1.2776920395001534,Iris-virginica,Iris-versicolor
149,0.7602118623007231,0.787951083533403,0.06843253787598655,-0.12454037930145956,Iris-virginica,Iris-versicolor
133,0.7602118623007231,0.3948491017262728,0.5514857464123618,-0.5858010433809375,Iris-virginica,Iris-versicolor
123,0.6468601929715898,0.787951083533403,0.5514857464123618,-0.8164313754206755,Iris-virginica,Iris-versicolor
140,1.0435910356235572,1.574155047147663,1.034538954948738,0.10608995273827942,Iris-virginica,Iris-virginica
129,1.156942704952691,0.525883095661983,1.6383554656192079,-0.12454037930145956,Iris-virginica,Iris-virginica
113,0.7035360276361565,1.050019071404823,-0.1730940663922016,-1.2776920395001534,Iris-virginica,Iris-versicolor
109,1.3269702089463913,1.7051890410833732,1.6383554656192079,1.2592416129369732,Iris-virginica,Iris-virginica
145,0.8168876969652902,1.443121053211953,1.034538954948738,-0.12454037930145956,Iris-virginica,Iris-virginica
13,-1.5068215242819496,-1.4396268133736678,-1.8637802962695176,-0.12454037930145956,Iris-setosa,Iris-setosa
44,-1.0534148469654152,-1.0465248315665376,-0.8976738791967661,1.7205022770164502,Iris-setosa,Iris-setosa
16,-1.393469854952816,-1.0465248315665376,-0.5353839727944832,1.9511326090561893,Iris-setosa,Iris-setosa
0,-1.3367940202882493,-1.308592819437958,-0.8976738791967661,1.0286112808972343,Iris-setosa,Iris-setosa
12,-1.3367940202882493,-1.4396268133736678,-1.2599637855990478,-0.12454037930145956,Iris-setosa,Iris-setosa
17,-1.3367940202882493,-1.1775588255022478,-0.8976738791967661,1.0286112808972343,Iris-setosa,Iris-setosa
2,-1.393469854952816,-1.308592819437958,-1.3807270877331412,0.3367202847780184,Iris-setosa,Iris-setosa
14,-1.450145689617383,-1.308592819437958,-0.05233076425810806,2.1817629410959283,Iris-setosa,Iris-setosa
11,-1.2234423509591155,-1.308592819437958,-1.2599637855990478,0.7979809488574954,Iris-setosa,Iris-setosa
68,0.42015685431332234,0.3948491017262728,0.4307224442782682,-1.9695830356193693,Iris-versicolor,Iris-virginica
82,0.08010184632592135,0.0017471199191426083,-0.05233076425810806,-0.8164313754206755,Iris-versicolor,Iris-versicolor
74,0.3068051849841886,0.13278111385485278,0.6722490485464564,-0.35517071134119854,Iris-versicolor,Iris-virginica
65,0.36348101964875573,0.26381510779056266,1.034538954948738,0.10608995273827942,Iris-versicolor,Iris-virginica
70,0.5901843583070228,0.787951083533403,0.06843253787598655,0.3367202847780184,Iris-versicolor,Iris-virginica
87,0.36348101964875573,0.13278111385485278,0.5514857464123618,-1.7389527035796315,Iris-versicolor,Iris-virginica
81,-0.03324982300321215,-0.26032086795227743,-0.41462067066038977,-1.5083223715398926,Iris-versicolor,Iris-versicolor
95,0.25012935031962197,0.0017471199191426083,-0.1730940663922016,-0.12454037930145956,Iris-versicolor,Iris-versicolor
63,0.533508523642456,0.26381510779056266,0.30995914214417364,-0.35517071134119854,Iris-versicolor,Iris-virginica
127,0.6468601929715898,0.787951083533403,0.30995914214417364,-0.12454037930145956,Iris-virginica,Iris-virginica
143,1.213618539617258,1.443121053211953,1.1553022570828317,0.3367202847780184,Iris-virginica,Iris-virginica
135,1.3269702089463913,1.443121053211953,2.242171976289678,-0.12454037930145956,Iris-virginica,Iris-virginica
103,1.0435910356235572,0.787951083533403,0.5514857464123618,-0.35517071134119854,Iris-virginica,Iris-virginica
137,0.9869152009589905,0.787951083533403,0.6722490485464564,0.10608995273827942,Iris-virginica,Iris-virginica
100,1.2702943742818247,1.7051890410833732,0.5514857464123618,0.5673506168177563,Iris-virginica,Iris-virginica
117,1.6670252169337927,1.3120870592762435,2.242171976289678,1.7205022770164502,Iris-virginica,Iris-virginica
119,0.7035360276361565,0.3948491017262728,0.1891958400100801,-1.9695830356193693,Iris-virginica,Iris-virginica
105,1.6103493822692254,1.1810530653405331,2.121408674155583,-0.12454037930145956,Iris-virginica,Iris-virginica
42,-1.393469854952816,-1.308592819437958,-1.743016994135423,0.3367202847780184,Iris-setosa,Iris-setosa
23,-1.1667665162945489,-0.9154908376308276,-0.8976738791967661,0.5673506168177563,Iris-setosa,Iris-setosa
49,-1.3367940202882493,-1.308592819437958,-1.0184371813308597,0.5673506168177563,Iris-setosa,Iris-setosa
27,-1.2801181856236823,-1.308592819437958,-0.7769105770626714,1.0286112808972343,Iris-setosa,Iris-setosa
7,-1.2801181856236823,-1.308592819437958,-1.0184371813308597,0.7979809488574954,Iris-setosa,Iris-setosa
25,-1.2234423509591155,-1.308592819437958,-1.0184371813308597,-0.12454037930145956,Iris-setosa,Iris-setosa
46,-1.2234423509591155,-1.308592819437958,-0.8976738791967661,1.7205022770164502,Iris-setosa,Iris-setosa
31,-1.2801181856236823,-1.0465248315665376,-0.5353839727944832,0.7979809488574954,Iris-setosa,Iris-setosa
19,-1.2801181856236823,-1.1775588255022478,-0.8976738791967661,1.7205022770164502,Iris-setosa,Iris-setosa
78,0.42015685431332234,0.3948491017262728,0.1891958400100801,-0.35517071134119854,Iris-versicolor,Iris-virginica
73,0.533508523642456,0.0017471199191426083,0.30995914214417364,-0.5858010433809375,Iris-versicolor,Iris-virginica
75,0.36348101964875573,0.26381510779056266,0.9137756528146435,-0.12454037930145956,Iris-versicolor,Iris-virginica
80,0.023426011661354475,-0.12928687401656727,-0.41462067066038977,-1.5083223715398926,Iris-versicolor,Iris-versicolor
67,0.19345351565505484,-0.26032086795227743,-0.05233076425810806,-0.8164313754206755,Iris-versicolor,Iris-versicolor
91,0.476832688977889,0.26381510779056266,0.30995914214417364,-0.12454037930145956,Iris-versicolor,Iris-virginica
98,-0.42998066565518,-0.12928687401656727,-0.8976738791967661,-1.2776920395001534,Iris-versicolor,Iris-setosa
59,0.08010184632592135,0.26381510779056266,-0.7769105770626714,-0.8164313754206755,Iris-versicolor,Iris-versicolor
94,0.25012935031962197,0.13278111385485278,-0.29385736852629624,-0.8164313754206755,Iris-versicolor,Iris-versicolor
108,1.156942704952691,0.787951083533403,1.034538954948738,-1.2776920395001534,Iris-virginica,Iris-virginica
142,0.7602118623007231,0.9189850774691128,-0.05233076425810806,-0.8164313754206755,Iris-virginica,Iris-virginica
138,0.5901843583070228,0.787951083533403,0.1891958400100801,-0.12454037930145956,Iris-virginica,Iris-virginica
148,0.9302393662944239,1.443121053211953,0.4307224442782682,0.7979809488574954,Iris-virginica,Iris-virginica
124,1.1002668702881244,1.1810530653405331,1.034538954948738,0.5673506168177563,Iris-virginica,Iris-virginica
146,0.7035360276361565,0.9189850774691128,0.5514857464123618,-1.2776920395001534,Iris-virginica,Iris-virginica
110,0.7602118623007231,1.050019071404823,0.79301235068055,0.3367202847780184,Iris-virginica,Iris-virginica
136,1.0435910356235572,1.574155047147663,0.5514857464123618,0.7979809488574954,Iris-virginica,Iris-virginica
121,0.6468601929715898,1.050019071404823,-0.29385736852629624,-0.5858010433809375,Iris-virginica,Iris-virginica
